Occupation,Total Employed,Percent of total employed_women,Percent of total employed_White,Percent of total employed_Black or African American,Percent of total employed_Asian,Percent of total employed_Hispanic or Latino,Group
Gambling services workers,64,50.6,49.2,14.5,25.3,15.5,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Other entertainment attendants and related workers,144,37.1,78.8,10,6.2,12.6,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Barbers,102,25.6,64.9,28.2,4.1,31.2,"Hosts and hostesses, restaurant, lounge, and coffee shop"
"Hairdressers, hairstylists, and cosmetologists",646,90.8,77.5,14.4,5.1,14.6,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Manicurists and pedicurists,214,79.3,14.2,6.9,76.7,7.3,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Skincare specialists,72,93.9,72.9,4.7,15.9,22.2,"Hosts and hostesses, restaurant, lounge, and coffee shop"
"Baggage porters, bellhops, and concierges",60,32.5,61.1,24.6,8.6,33.7,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Childcare workers,928,94.8,76.6,16.1,3.8,21.6,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Exercise trainers and group fitness instructors,202,67.1,83,11.9,2.1,10.1,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Recreation workers,131,63.8,79.8,12.6,2.4,10.4,"Hosts and hostesses, restaurant, lounge, and coffee shop"
"Personal care and service workers, all other",102,71.9,71.6,15.8,6.9,10.4,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Sales and office occupations,29726,61.3,78.7,12.5,5.1,17.3,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Sales and related occupations,14168,48.7,80.2,10.6,5.5,17.1,"Hosts and hostesses, restaurant, lounge, and coffee shop"
First-line supervisors of retail sales workers,3067,44.7,80.3,9.4,6.3,15.3,"Hosts and hostesses, restaurant, lounge, and coffee shop"
First-line supervisors of non-retail sales workers,1176,31.7,84.7,6.7,6.8,14.2,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Cashiers,2552,73.1,71.1,17.1,6.3,25.5,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Counter and rental clerks,69,35.7,82.2,10.8,1.5,13.9,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Parts salespersons,119,16,89.2,8.2,1.1,11.6,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Retail salespersons,2751,47.5,78.7,12.2,4.5,18.5,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Advertising sales agents,141,53.8,89.6,5.5,2.4,16.4,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Insurance sales agents,641,50.1,79.9,10.8,5.7,14,"Hosts and hostesses, restaurant, lounge, and coffee shop"
"Securities, commodities, and financial services sales agents",242,22.8,85.2,4.3,9,8.2,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Travel agents,51,79.5,85,7.3,7.3,5.4,"Hosts and hostesses, restaurant, lounge, and coffee shop"
"Sales representatives of services, except advertising, insurance, financial services, and travel",563,34,85.4,7.7,4.9,12.1,"Hosts and hostesses, restaurant, lounge, and coffee shop"
"Sales representatives, wholesale and manufacturing",1217,30.5,88.8,4.5,4.2,13.6,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Real estate brokers and sales agents,1037,57.5,84.9,7.9,5,14.5,"Hosts and hostesses, restaurant, lounge, and coffee shop"
"Door-to-door sales workers, news and street vendors, and related workers",114,62.4,81.9,13.3,1.5,22.4,"Hosts and hostesses, restaurant, lounge, and coffee shop"
"Sales and related workers, all other",317,52.2,79.6,12.6,4.4,13.8,"Hosts and hostesses, restaurant, lounge, and coffee shop"
Bill and account collectors,98,66,72.1,23.9,2.1,15.8,"Switchboard operators, including answering service"
Billing and posting clerks,434,89.1,74.7,15.5,4.8,15.3,"Switchboard operators, including answering service"
"Bookkeeping, accounting, and auditing clerks",1179,87.3,86.5,7.7,4,14.2,"Switchboard operators, including answering service"
Payroll and timekeeping clerks,146,86.9,81.6,10.2,3.4,12.4,"Switchboard operators, including answering service"
Tellers,279,80.4,82.5,12.2,3.7,17.7,"Switchboard operators, including answering service"
"Court, municipal, and license clerks",76,85.1,69.5,23.1,2.7,12.1,"Financial clerks, all other"
"Credit authorizers, checkers, and clerks",55,64.9,80,7.8,7.8,17.1,"Financial clerks, all other"
Customer service representatives,2404,63.8,73.1,17.7,4.9,19.6,"Financial clerks, all other"
"Eligibility interviewers, government programs",82,81.8,61.5,20.7,11.4,26.8,"Financial clerks, all other"
File clerks,161,77.6,83,8.8,5.6,16,"Financial clerks, all other"
"Hotel, motel, and resort desk clerks",91,82.6,69.1,21.9,3,27.7,"Financial clerks, all other"
"Interviewers, except eligibility and loan",208,78.3,72.1,20.5,3.4,18.1,"Financial clerks, all other"
"Library assistants, clerical",65,86,82.8,10.3,5.7,9,"Financial clerks, all other"
Loan interviewers and clerks,151,76.1,71.8,19.4,6.1,18,"Financial clerks, all other"
Order clerks,113,54.5,76.4,9.5,6.1,19.6,"Financial clerks, all other"
Receptionists and information clerks,1147,88.3,78.8,12.6,3.6,22.2,"Financial clerks, all other"
Reservation and transportation ticket agents and travel clerks,108,52.5,59.1,26.1,7.7,17.8,"Financial clerks, all other"
"Information and record clerks, all other",113,74.3,78.7,16.4,1.7,26.3,"Financial clerks, all other"
Couriers and messengers,578,22.6,69.9,21.1,4.4,23.1,"Financial clerks, all other"
Public safety telecommunicators,104,64.1,89.1,10.1,0.4,13.4,"Financial clerks, all other"
"Dispatchers, except police, fire, and ambulance",205,50.8,75.2,16.3,2.5,19,"Financial clerks, all other"
Postal service clerks,91,62.1,49.5,38.4,9.6,10.2,"Financial clerks, all other"
Postal service mail carriers,312,36.7,72.7,18.7,6.8,13.6,"Financial clerks, all other"
"Postal service mail sorters, processors, and processing machine operators",66,46.9,49,31.1,18.7,6.1,"Financial clerks, all other"
"Production, planning, and expediting clerks",244,50.3,78.8,11.5,4.6,15.2,"Financial clerks, all other"
"Shipping, receiving, and inventory clerks",572,33.6,72.6,19.1,4,26.8,"Financial clerks, all other"
"Weighers, measurers, checkers, and samplers, recordkeeping",58,40,74.3,20.5,1.7,20.8,"Financial clerks, all other"
Executive secretaries and executive administrative assistants,196,92.5,83,12.8,3.3,9.8,"Financial clerks, all other"
Legal secretaries and administrative assistants,54,83.9,83.3,9.7,4.5,13.2,"Financial clerks, all other"
Medical secretaries and administrative assistants,72,93.3,81.2,8.2,7.6,18.5,"Financial clerks, all other"
"Secretaries and administrative assistants, except legal, medical, and executive",2080,92.9,83.8,10.3,3.2,13.8,"Financial clerks, all other"
Data entry keyers,228,74.4,72.2,17.6,5.1,15.8,"Financial clerks, all other"
Insurance claims and policy processing clerks,236,79.2,74.8,17.5,5.7,17.3,"Financial clerks, all other"
"Mail clerks and mail machine operators, except postal service",62,41.3,70.8,21,4.2,20,"Financial clerks, all other"
"Office clerks, general",1227,83,77.5,11.8,7,19.6,"Financial clerks, all other"
"Office and administrative support workers, all other",535,75.9,74.7,16.1,5.3,15.7,Statistical assistants
"Natural resources, construction, and maintenance occupations",13357,5.6,86.7,7.5,2.1,31.1,Statistical assistants
"Farming, fishing, and forestry occupations",1045,24.1,90,4.3,1.6,43,Statistical assistants
"First-line supervisors of farming, fishing, and forestry workers",53,12.8,89.5,4.7,2.8,27.6,Statistical assistants
Miscellaneous agricultural workers,834,24.4,90.5,4.2,1,47.2,Statistical assistants
Construction and extraction occupations,7710,4,87.8,7,1.6,35.7,Statistical assistants
First-line supervisors of construction trades and extraction workers,737,3.5,89.9,5.8,1.1,25.4,Statistical assistants
"Brickmasons, blockmasons, and stonemasons",113,0.3,86.8,8.8,1,44.1,Statistical assistants
Carpenters,1114,3.2,87.9,6.9,1.9,35.5,Statistical assistants
"Carpet, floor, and tile installers and finishers",172,3.9,93.7,2.5,1.1,53.2,Statistical assistants
"Cement masons, concrete finishers, and terrazzo workers",55,2.8,82.9,8.4,1.3,53.3,Statistical assistants
Construction laborers,1902,3.8,86.6,8,1.4,46,Statistical assistants
Construction equipment operators,359,3.9,85.3,9.9,0.5,17.8,Statistical assistants
"Drywall installers, ceiling tile installers, and tapers",165,5.8,89.2,1,2.8,73.1,Statistical assistants
Electricians,901,3.1,87.8,7.6,1.7,23.8,Statistical assistants
Insulation workers,53,2.9,86,9.6,2.4,54.5,Statistical assistants
Painters and paperhangers,524,8.3,90,5.4,0.6,51.2,Statistical assistants
"Plumbers, pipefitters, and steamfitters",537,2.3,88.1,6.9,1.7,24.5,Statistical assistants
Roofers,210,3.3,86.9,5.1,1.4,53.2,Statistical assistants
Sheet metal workers,123,5.6,87.3,4.5,3.2,13.4,Statistical assistants
Construction and building inspectors,116,11.9,88.2,3.5,4.5,12.4,Statistical assistants
Other extraction workers,50,1.9,91.8,2.3,0.4,26.1,Highway maintenance workers
"Installation, maintenance, and repair occupations",4602,4.1,84,9.1,3.1,20.8,Highway maintenance workers
"First-line supervisors of mechanics, installers, and repairers",226,9.3,85.7,7.2,2.5,12.4,Highway maintenance workers
"Computer, automated teller, and office machine repairers",190,10.5,80.5,5.5,9.1,19.9,Highway maintenance workers
Radio and telecommunications equipment installers and repairers,140,8.3,71.5,16.8,6.3,16.8,Highway maintenance workers
Security and fire alarm systems installers,63,0,77.4,9.6,3.2,34.4,Highway maintenance workers
Aircraft mechanics and service technicians,153,5.4,84.3,10.8,3.2,23,Highway maintenance workers
Automotive body and related repairers,121,1,87.4,7.3,2.2,27.9,Highway maintenance workers
Automotive service technicians and mechanics,750,1.4,82.8,9.1,3.5,28.3,Highway maintenance workers
Bus and truck mechanics and diesel engine specialists,357,1.8,85.1,7.4,3.1,18.1,Highway maintenance workers
Heavy vehicle and mobile equipment service technicians and mechanics,191,0.8,93.7,3.7,0.8,19.1,Highway maintenance workers
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",84,1.2,89.8,7.1,2.1,27.7,Highway maintenance workers
"Heating, air conditioning, and refrigeration mechanics and installers",450,1.5,81.5,12.1,3.1,21.7,Highway maintenance workers
Industrial and refractory machinery mechanics,399,5.2,86.1,9.5,2.5,14.5,Highway maintenance workers
"Maintenance and repair workers, general",584,4.3,83.9,10.7,1.8,20.6,Highway maintenance workers
Millwrights,57,4.2,95.6,1.3,1.1,5.8,Highway maintenance workers
Electrical power-line installers and repairers,127,1.3,89.4,5.5,0.8,10.6,Highway maintenance workers
